keys,en,fr
generic_06,Gets jumpscared by a stream alert,Sursaute à cause d'une alerte de stream
generic_07,Is mean to someone in chat,Est méchant avec quelqu'un du chat
generic_08,"""You're jealous""","""You're jealous"" <br> (tu es jaloux(se))"
generic_09,Says something sus,Dit quelque chose de suspect
generic_10,The stream buffers,Le stream lag
generic_11,Forgets to remove the clown outfit,Oublie de retirer le costume de clown
generic_12,Misreads a chat's message,Interprète mal un message du chat
generic_13,Goes to the bathroom,Pause pipi
generic_14,Technical difficulties,Difficultés techniques
generic_15,Forgets to update the stream category,Oublie de changer la catégorie du stream
generic_16,Asks chat for help,Demande de l'aide au chat
generic_17,Doesn't get a joke,Ne comprend pas une blague
generic_18,"""Brain is not braining""","""Brain is not braining"""
generic_19,Obvious lie,Mensonge évident
generic_20,Randomly starts singing,Commence à chanter sans raison
generic_21,"""I'm stupid""","""I'm stupid"" (je suis stupide)"
generic_22,Accidentally mutes herself and doesn't realize it,Se mute accidentellement sans s'en rendre compte
generic_23,Starts eating or drinking,Commence à manger ou boire
generic_24,Mentions how tired she is,Mentionne à quel point elle est fatiguée
generic_25,Checks something on her phone,Vérifie quelque chose sur son téléphone
generic_26,Changes stream settings mid-stream,Change le titre et la catégorie du stream en cours
generic_27,Forgets what she was talking about mid-sentence,Oublie ce dont elle parlait au milieu de sa phrase
generic_28,Struggles to pronounce a word,a des difficultés à prononcer un mot
generic_29,Wonders if the sound volume is fine,Se demande si le volume sonore est correct
generic_30,Mentions how cold or hot it is,Mentionne à quel point il fait froid ou chaud
generic_31,Talks about a game she’s excited to play in the future,Parle d'un jeu auquel elle est impatiente de jouer à l'avenir
generic_32,Says she needs to finish something after stream,Mentionne qu'elle doit finir quelque chose après le stream

souls_like_00,Falls in the void,Tombe dans le vide
souls_like_01,Dies from fall damage,Meurt de dégâts de chute
souls_like_02,Beats a boss first try,Bat un boss du premier coup
souls_like_03,Dies 10 times in a row on the same boss,Meurt 10 fois d'affilée sur le même boss
souls_like_04,Gets jumpscared by the game,Sursaute à cause du jeu
souls_like_05,Dies of greediness,Meurt car trop gourmande
souls_like_06,Dies from an elevator accident,Meurt à cause d'un ascenseur
souls_like_07,Ragequits the game,Rage quitte le jeu
souls_like_08,Is blind,Est aveugle
souls_like_09,Doesn't know where to go,Ne sais pas où aller
souls_like_10,Slams her desk,Frappe son bureau
souls_like_11,Accidentally attacks an NPC,Attaque accidentellement un PNJ
souls_like_12,Wastes healing items when not needed,Gaspille un objet de santé alors que ce n'était pas nécessaire
souls_like_13,Runs past enemies to avoid fighting,Court en évitant les ennemis
souls_like_14,Dies trying to retrieve souls/XP,Meurt en essayant de récupérer ses souls/XP
souls_like_15,Underestimates a weak-looking enemy,Sous estime un ennemi d'apparence faible
souls_like_16,Dies to environmental hazards (like fire or poison),Meurt à cause de risques environnementaux (comme le feu ou le poison)
souls_like_17,Misses an obvious shortcut,Rate un raccourci évident
souls_like_18,Backstabs an enemy successfully,Poignarde un ennemi par derrière avec succès
souls_like_19,Dies to a trap (like hidden arrows or a boulder),Meurt dans un piège (comme des flèches cachées ou un rocher)
souls_like_20,Underestimates the range of an enemy's attack,Sous-estime la portée de l'attaque d'un ennemi
souls_like_21,Spams dodge roll and dies anyway,Spamme la touche d'esquive mais meurt quand même
souls_like_22,Dies immediately after healing,Meurt immédiatement après s'être soignée
souls_like_23,Taunts or teases an enemy and then dies,Se moque d'un ennemi et meurt
souls_like_24,Accidentally uses the wrong item during a fight,Utilise accidentellement le mauvais objet pendant un combat
souls_like_25,Rolls off a cliff during a dodge,Fait une roulade d'esquive et glisse d'une grande hauteur
souls_like_26,Gets killed by a surprise enemy ambush,Meurt dans une embuscade surprise de l'ennemi
souls_like_27,Misses a dodge and gets hit by a huge attack,Rate une esquive et se fait frapper par une énorme attaque
souls_like_28,Fails to dodge or block a simple attack,Ne parvient pas à esquiver ou à bloquer une attaque simple
souls_like_29,Gets stuck in an infinite loop of dying and respawning in the same spot,Se retrouve coincé dans une boucle infinie de mort et de réapparition au même endroit

art_00,A sussy song is playing,Une musique suspecte est jouée
art_01,Redraws the same thing several times in a row,Redessine la même chose plusieurs fois de suite
art_02,Sings along with the song,Chante en même temps que la musique
art_03,Forgets to save the project,Oublie de sauvegarder le projet
art_04,Skips 2 songs in a row,Saute 2 musiques à la suite
art_05,Is lost in her unnamed layers,Se perd dans ses calques sans nom
art_06,Spends too long on one small part,Passe trop de temps sur une petite partie du dessin
art_07,Compares her current work to a previous piece,Compare son dessin actuel à un dessin précédent
art_08,Mentions needing a reference image,Mentionne le besoin d'une image de référence
art_09,Accidentally draws on the wrong layer,Dessine accidentellement sur le mauvais calque
art_10,Spends more time selecting colors than drawing,Passe plus de temps à sélectionner les couleurs qu'à dessiner
art_11,Mentions not being sure how to draw something,Mentionne qu'elle n'est pas sûre de savoir comment dessiner quelque chose
art_12,Complains about Krita,Se plaint de Krita
art_13,Gets excited about a small success or improvement,Se réjouit d'un petit succès ou d'une amélioration
art_14,"""I have an idea""","""I have an idea"" (j'ai une idée)"
art_15,Asks chat for feedback,Demande au chat de donner son avis

horror_game_00,Gets scared by a harmless NPC or object,Est effrayée par un PNJ ou un objet inoffensif
horror_game_01,Ragequits the game,Rage quitte le jeu
horror_game_02,Stays crouched and refuses to move,Reste accroupie et refuse de bouger
horror_game_03,Is stuck on a puzzle,Reste bloquée sur un puzzle
horror_game_04,Turns around repeatedly to check behind her,Se retourne à plusieurs reprises pour vérifier derrière elle
horror_game_05,Pauses the game to calm down,Met le jeu en pause pour se calmer
horror_game_06,Accidentally wastes a key item,Gaspille accidentellement un objet important
horror_game_07,Loses track of the objective,Oublie l'objectif actuel
horror_game_08,Gets lost in the same area repeatedly,Se perd dans la même zone à plusieurs reprises
horror_game_09,Doesn't notice an obvious clue,Ne remarque pas un indice évident
horror_game_10,Finds a safe room and doesn't want to leave,Trouve une pièce sécurisée et refuse de la quitter
horror_game_11,Forgets a key mechanic or item,Oublie un élément ou une mécanique clé du jeu
horror_game_12,Calls an enemy "ugly" or "creepy",Traite un ennemi de "ugly" ou de "creepy" ("laid" ou "flippant"),
horror_game_13,Misses something important while panicking,Manque quelque chose d'important en paniquant
horror_game_14,Finds comfort in a non-threatening object (like a plant or chair),Se réconforte avec un objet non menaçant (comme une plante ou une chaise)
horror_game_15,Randomly laughs at her own fear,Rit de sa propre peur
horror_game_16,Runs in the wrong direction during a chase,Court dans la mauvaise direction pendant une course poursuite
horror_game_17,Crouches to hide but gets caught immediately,S'accroupit pour se cacher mais se fait immédiatement attrapée
horror_game_18,Uses an item by mistake,Utilise un objet par erreur
horror_game_19,Crouch-walks through an entire area out of fear,Marche accroupie à travers une grande zone par peur
horror_game_20,Tries to brute force a puzzle instead of solving it,Tente de forcer un puzzle au lieu de le résoudre normalement
horror_game_21,Falls for an obvious trap or bait,Tombe dans un piège ou un appât évident
horror_game_22,Ignores tutorial hints or on-screen prompts,Ignore les conseils du didacticiel ou les instructions à l'écran

other_games_00,Gets jumpscared by the game,Sursaute à cause du jeu
other_games_01,Ragequits the game,Rage quitte le jeu
other_games_02,Is stuck on a puzzle,Reste bloquée sur un puzzle
other_games_03,Dies in a stupid way,Meurt de façon stupide
other_games_04,Loses track of the objective,Oublie l'objectif actuel
other_games_05,Gets lost in the same area repeatedly,Se perd dans la même zone à plusieurs reprises
other_games_06,Doesn't notice an obvious clue,Ne remarque pas un indice évident
other_games_07,Fails a quick-time event,Echoue à un quick-time event (QTE)
other_games_08,Forgets a key mechanic or control,Oublie une mécanique de jeu ou une touche importante
other_games_09,Has to pause because the chat is making her laugh,Doit faire une pause parce que le chat la fait rire
other_games_10,Uses an item by mistake,Utilise un objet par erreur
other_games_11,Gets distracted and dies while reading chat,Se laisse distraire et meurt en lisant le chat
other_games_12,Blames the game for something that was her fault,Accuse le jeu pour quelque chose qui était de sa faute
other_games_13,Struggles with a basic platforming section,A des difficultés avec une section de plate-forme de base
other_games_14,Fails to complete an easy task due to panic,Ne parvient pas à terminer une tâche facile à cause de la panique
other_games_15,Misses a jump and falls to their death,Manque un saut et fait une chute mortelle
other_games_16,Accidentally attacks an NPC,Attaque accidentellement un PNJ
other_games_17,Tries to brute force a puzzle instead of solving it,Tente de forcer un puzzle au lieu de le résoudre normalement
other_games_18,Accidentally wastes a key item,Gaspille accidentellement un objet important
other_games_19,Falls for an obvious trap or bait,Tombe dans un piège ou un appât évident
other_games_20,Ignores tutorial hints or on-screen prompts,Ignore les conseils du didacticiel ou les instructions à l'écran
other_games_21,Runs out of ammo or resources at a critical moment,Manque de munitions ou de ressources à un moment critique
other_games_22,Complains about a bug or glitch,Se plaint d'un bug ou d'un glitch
